Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Users,Containers
GET,/?p=11,14517,9728,240.0,2971.4337205000497,4.3631000007735565,17512.13680001092,209140.8414961769,80.82246979225786,54.16001833292584,240,1200,5000,8000,11000,13000,14000,14000,16000,17000,18000,1000,1
GET,/?p=5,9754,6515,220.0,2270.5360618209,4.634600001736544,13286.992899986217,10002.305618207914,54.30477167139789,36.2718461594379,220,930,3000,6900,8600,9600,10000,11000,12000,13000,13000,1000,1
GET,/?p=8,4797,3232,220.0,2274.815565436672,4.405700005008839,12756.611300006623,9806.204294350637,26.70699094809265,17.993953459294442,220,900,2900,7000,8700,9600,10000,11000,12000,13000,13000,1000,1
,Aggregated,29068,19475,230.0,2621.281214218383,4.3631000007735565,17512.13680001092,109422.74827989542,161.8342324117484,108.42581795165816,230,990,3900,7300,9800,12000,13000,14000,15000,17000,18000,1000,1
GET,/?p=11,18414,13045,160.0,1996.3998059411715,3.685200004838407,17954.369300001417,186064.4460736396,102.61806303564896,72.69754710003481,160,1800,3200,3800,6000,9600,12000,13000,16000,18000,18000,1000,2
GET,/?p=5,12249,8586,150.0,1478.6091729202817,2.561399989644997,13207.90140000463,10220.426402155275,68.26157565567853,47.84830505181287,150,870,2600,3500,4800,6500,8200,9000,11000,13000,13000,1000,2
GET,/?p=8,6251,4415,140.0,1484.8039704207051,4.380000013043173,12602.786499992362,10059.760678291474,34.83575062647126,24.60403759652385,140,880,2700,3600,4900,6400,7900,9000,11000,13000,13000,1000,2
,Aggregated,36914,26046,150.0,1737.9503550089626,2.561399989644997,17954.369300001417,97910.3938072276,205.71538931779875,145.14988974837152,150,1400,2900,3700,5300,7800,10000,12000,15000,17000,18000,1000,2
GET,//?p=11,17509,13872,230.0,3245.8751633901634,3.7453999975696206,31477.80760000751,133587.35707350506,97.77405080797872,77.46425454385064,230,860,1900,3100,7400,30000,30000,30000,31000,31000,31000,1000,3
GET,//?p=5,11606,9003,210.0,2644.554834378764,3.997499996330589,31526.02720000141,8622.436843012236,64.81041942300537,50.27470326256397,210,720,1300,1800,3400,30000,30000,30000,31000,32000,32000,1000,3
GET,//?p=8,5889,4619,210.0,2902.2855340634515,3.787199995713309,31465.79760000168,8351.318729835286,32.88545235068746,25.79349709761001,210,720,1300,1800,3900,30000,30000,30000,31000,31000,31000,1000,3
,Aggregated,35004,27494,220.0,2988.695324925662,3.7453999975696206,31526.02720000141,71084.27474002971,195.4699225816716,153.53245490402463,220,790,1500,2200,5700,30000,30000,30000,31000,31000,32000,1000,3
GET,/?p=11,4637,0,120.0,166.43579585948015,71.52460000361316,987.9916000063532,633939.0,25.8633784020863,0.0,120,150,190,220,320,430,560,630,890,990,990,100,1
GET,/?p=5,3082,0,57.0,86.58004630103326,31.70989999489393,691.6726999916136,30085.0,17.190194573049382,0.0,57,78,96,110,180,250,340,410,550,690,690,100,1
GET,/?p=8,1598,0,57.0,90.63525519399748,31.46790000027977,631.5031999984058,30022.0,8.913021066753053,0.0,57,79,100,120,190,270,380,460,600,630,630,100,1
,Aggregated,9317,0,92.0,127.01917204037804,31.46790000027977,987.9916000063532,330607.735215198,51.96659404188874,0.0,92,120,150,170,260,360,490,570,840,990,990,100,1
GET,/?p=11,4797,0,83.0,99.7076708776098,69.95360000291839,699.5251000043936,633939.0,26.76773101116502,0.0,83,92,100,110,140,170,250,350,620,700,700,100,2
GET,/?p=5,3239,0,39.0,50.23173254089279,29.38729999732459,512.0775999967009,30085.0,18.0739380331798,0.0,39,45,52,57,76,96,140,200,480,510,510,100,2
GET,/?p=8,1589,0,39.0,51.02097004391261,29.74230000108946,473.3994999987772,30022.0,8.866776021834733,0.0,39,45,52,59,76,99,150,250,470,470,470,100,2
,Aggregated,9625,0,74.0,75.02032210905206,29.38729999732459,699.5251000043936,331029.15906493505,53.70844506617955,0.0,74,80,86,92,120,150,210,280,550,700,700,100,2
GET,//?p=11,4776,0,120.0,154.92857112641505,85.16810000583064,1781.133900003624,633939.0,26.686213696960422,0.0,120,140,170,180,240,300,410,780,1600,1800,1800,100,3
GET,//?p=5,3199,0,68.0,96.12575936243157,44.0385999972932,1421.9394999963697,30084.0,17.874622616536097,0.0,68,84,98,110,140,190,300,820,1400,1400,1400,100,3
GET,//?p=8,1614,0,66.0,88.550991573814,44.1075999988243,1081.8376999959582,30035.0,9.018331010656224,0.0,66,80,94,100,140,180,260,440,990,1100,1100,100,3
,Aggregated,9589,0,100.0,124.13874859738443,44.0385999972932,1781.133900003624,330838.2386067369,53.57916732415274,0.0,100,120,130,150,200,260,380,690,1400,1800,1800,100,3
GET,/?p=11,498,0,82.0,87.38514738946701,73.6046000092756,218.86119998816864,633939.7550200804,2.791217828131807,0.0,82,86,88,91,110,130,150,170,220,220,220,10,1
GET,/?p=5,321,0,38.0,41.38055607461446,31.36090000043623,103.5350999882212,30085.672897196266,1.799158479578936,0.0,38,40,42,43,51,58,74,89,100,100,100,10,1
GET,/?p=8,161,0,39.0,44.17834844695468,32.097500006784685,209.9715000076685,30022.52173913044,0.9023816673277528,0.0,39,42,44,46,52,65,94,200,210,210,210,10,1
,Aggregated,980,0,75.0,65.21803673455665,31.36090000043623,218.86119998816864,336931.76020408166,5.492757975038495,0.0,75,79,82,84,93,110,140,150,220,220,220,10,1
GET,/?p=11,484,0,77.0,83.49109586791103,70.5487000013818,376.5118000010261,633939.0,2.7177834546173765,0.0,77,79,82,85,95,130,150,170,380,380,380,10,2
GET,/?p=5,348,0,36.0,40.263109769930246,31.518199997663032,167.63689999788767,30085.0,1.95410876489018,0.0,36,38,39,40,52,59,75,100,170,170,170,10,2
GET,/?p=8,151,0,37.0,40.10970794739563,31.81790000235196,79.7281999984989,30022.0,0.8479035158000493,0.0,37,39,41,44,54,60,66,72,80,80,80,10,2
,Aggregated,983,0,71.0,61.52372177015402,31.518199997663032,376.5118000010261,327395.0946083418,5.519795735307605,0.0,71,75,77,78,85,97,140,160,380,380,380,10,2
GET,//?p=11,494,0,93.0,99.99098421144204,86.24380000401288,764.4647999986773,633939.0,2.758221825570475,0.0,93,96,100,110,110,120,120,120,760,760,760,10,3
GET,//?p=5,307,0,52.0,67.90791661284237,45.303000006242655,745.5893000005744,30084.0,1.7141176122472384,0.0,52,57,64,69,76,79,89,720,750,750,750,10,3
GET,//?p=8,163,0,52.0,67.58357791426131,46.01080001157243,724.7769999958109,30035.0,0.910101533538436,0.0,52,55,59,63,73,75,84,720,720,720,720,10,3
,Aggregated,964,0,88.0,84.29398319566346,45.303000006242655,764.4647999986773,339520.0819502075,5.382440971356149,0.0,88,91,93,95,110,110,120,720,760,760,760,10,3
